code,name,unit,preunit
CTVQ,Total Trade less Oil (TTlessO): WW: Imports: BOP: CP: SA,NA,NA
CTVR,Total Trade less Oil (TTlessO): WW: Balance: BOP: CP: SA,NA,NA
CTVS,Trade in Goods (T): WW: Balance: BOP: CVM: SA,NA,NA
CTVT,Trade in Goods (T): EU: Balance: BOP: CVM: SA,NA,NA
CTVU,Trade in Goods (T): Non-EU: Balance: BOP: CVM: SA,NA,NA
CTVV,Trade in Goods: Food & live animals (0): WW: Balance: BOP: CVM: SA,NA,NA
CTVW,Trade in Goods: Beverages and Tobacco (1): WW: Balance: BOP: CVM: SA,NA,NA
CTVX,Trade in Goods: Crude Materials (2): WW: Balance: BOP: CVM: SA,NA,NA
CTVY,Trade in Goods: Fuels (3): WW: Balance: BOP: CVM: SA,NA,NA
CTVZ,Trade in Goods: Animal and Vegetable Oils (4): WW: Balance: BOP: CVM: SA,NA,NA
CTWA,Trade in Goods: Chemicals (5): WW: Balance: BOP: CVM: SA,NA,NA
CTWB,Trade in Goods: Material manufatures (6): WW: Balance: BOP: CVM: SA,NA,NA
CTWC,Trade in Goods: Machinery and Transport (7): WW: Balance: BOP: CVM: SA,NA,NA
CTWD,Trade in Goods: Miscellanous manufactures (8): WW: Balance: BOP: CVM: SA,NA,NA
CTWE,Trade in Goods: Unspecified goods (9): WW: Balance: BOP: CVM: SA,NA,NA
CTWG,Trade in Services (TS): WW: Exports: BOP: IDEF: SA,NA,NA
CTWH,Trade in Services (TS): WW: Imports: BOP: IDEF: SA,NA,NA
CTWJ,Total Trade (TT): WW: Exports: BOP: IDEF: SA,NA,NA
CTWK,Total Trade (TT): WW: Imports: BOP: IDEF: SA,NA,NA
CTWN,Trade in Goods: Food & live animals (0): EU: Exports: BOP: IDEF: SA,NA,NA
CTWO,Trade in Goods: Food & live animals (0): EU: Imports: BOP: IDEF: SA,NA,NA
CTWR,Trade in Goods: Beverages and Tobacco (1): EU: Exports: BOP: IDEF: SA,NA,NA
CTWS,Trade in Goods: Beverages and Tobacco (1): EU: Imports: BOP: IDEF: SA,NA,NA
CTWT,Trade in Goods: Crude Materials (2): EU: Imports: BOP: IDEF: SA,NA,NA
CTWU,Trade in Goods: Crude Materials (2): EU: Exports: BOP: IDEF: SA,NA,NA
CTWX,Trade in Goods: Animal and Vegetable Oils (4): EU: Exports: BOP: IDEF: SA,NA,NA
CTWY,Trade in Goods: Animal and Vegetable Oils (4): EU: Imports: BOP: IDEF: SA,NA,NA
CTXB,Trade in Goods: Material manufatures (6): EU: Exports: BOP: IDEF: SA,NA,NA
CTXC,Trade in Goods: Material manufatures (6): EU: Imports: BOP: IDEF: SA,NA,NA
CTXF,Trade in Goods: Machinery and Transport (7): EU: Exports: BOP: IDEF: SA,NA,NA
CTXG,Trade in Goods: Machinery and Transport (7): EU: Imports: BOP: IDEF: SA,NA,NA
CTXH,Trade in Goods: Miscellanous manufactures (8): EU: Imports: BOP: IDEF: SA,NA,NA
CTXI,Trade in Goods: Miscellanous manufactures (8): EU: Exports: BOP: IDEF: SA,NA,NA
CTXL,Trade in Goods: Food & live animals (0): Non-EU: Exports: BOP: IDEF: SA,NA,NA
CTXM,Trade in Goods: Food & live animals (0): Non-EU: Imports: BOP: IDEF: SA,NA,NA
CTXO,Trade in Goods: Beverages and Tobacco (1): Non-EU: Exports: BOP: IDEF: SA,NA,NA
CTXP,Trade in Goods: Beverages and Tobacco (1): Non-EU: Imports: BOP: IDEF: SA,NA,NA
CTXS,Trade in Goods: Food & live animals (0): EU: Balance: BOP: CVM: SA,NA,NA
CTXT,Trade in Goods: Beverages and Tobacco (1): EU: Balance: BOP: CVM: SA,NA,NA
CTXU,Trade in Goods: Crude Materials (2): EU: Balance: BOP: CVM: SA,NA,NA
CTXV,Trade in Goods: Fuels (3): EU: Balance: BOP: CVM: SA,NA,NA
CTXW,Trade in Goods: Animal and Vegetable Oils (4): EU: Balance: BOP: CVM: SA,NA,NA
