variable,value,dates.date,dates.freq
KB7S,0,1952-01-01,a
KB7T,-25,1952-01-01,a
KB7U,-1,1952-01-01,a
KB7V,-3,1952-01-01,a
KB7W,0,1952-01-01,a
KB7X,-4,1952-01-01,a
KB7Y,5,1952-01-01,a
KB7Z,-25,1952-01-01,a
KB82,0,1952-01-01,a
KB8E,-0.1,1952-01-01,a
KB8G,0,1952-01-01,a
KB8H,-0.1,1952-01-01,a
KB8I,0,1952-01-01,a
KB8J,0,1952-01-01,a
KB8K,0,1952-01-01,a
KB8L,0,1952-01-01,a
KB8M,0,1952-01-01,a
KB94,-0.2,1952-01-01,a
KG6O,13.7,1952-01-01,a
KG7N,11.1,1952-01-01,a
KG9K,1.4,1952-01-01,a
KG9L,-11,1952-01-01,a
KG9W,-7.4,1952-01-01,a
KG9X,-2,1952-01-01,a
KGI3,7.1,1952-01-01,a
KGL6,9.2,1952-01-01,a
KGM4,7.1,1952-01-01,a
KGM7,1.9,1952-01-01,a
KGV7,4.5,1952-01-01,a
KGW5,-0.6,1952-01-01,a
KGX3,4.9,1952-01-01,a
KGX9,-0.1,1952-01-01,a
KGY7,5.5,1952-01-01,a
KGZ5,0.2,1952-01-01,a
KGZ8,10.9,1952-01-01,a
KH26,4.6,1952-01-01,a
KH2C,18.3,1952-01-01,a
KH2I,9.7,1952-01-01,a
KH2O,3.1,1952-01-01,a
KH2U,-2.4,1952-01-01,a
KH35,8.1,1952-01-01,a
KH3B,-3.5,1952-01-01,a
KH3H,-9.1,1952-01-01,a
KH3N,-7.7,1952-01-01,a
KH3W,-1.8,1952-01-01,a
KH44,-8.6,1952-01-01,a
KH47,9.3,1952-01-01,a
KH4D,2,1952-01-01,a
KH4V,17.5,1952-01-01,a
KH53,9.2,1952-01-01,a
KH59,19.3,1952-01-01,a
KH5L,14.9,1952-01-01,a
KH65,3.6,1952-01-01,a
KH68,9.2,1952-01-01,a
KH6E,1.9,1952-01-01,a
KH6N,9.2,1952-01-01,a
KH6T,6.6,1952-01-01,a
KH74,7.8,1952-01-01,a
KH7D,5,1952-01-01,a
NHCZ,108,1952-01-01,a
NMRP,2997,1952-01-01,a
NMRY,144087,1952-01-01,a
NPJQ,0,1952-01-01,a
NPJR,0,1952-01-01,a
NPQS,1896,1952-01-01,a
NPQT,40321,1952-01-01,a
NTAB,2100,1952-01-01,a
NTAO,54348,1952-01-01,a
NTAP,1386,1952-01-01,a
YBEU,0.7,1952-01-01,a
YBEX,0.7,1952-01-01,a
YBEZ,19.2,1952-01-01,a
YBFR,18.8,1952-01-01,a
YBFV,3.8,1952-01-01,a
YBGB,3.6,1952-01-01,a
YBHA,15536,1952-01-01,a
YBIL,15599,1952-01-01,a
YBIM,408227,1952-01-01,a
AAXW,366,1953-01-01,a
ABJQ,11332,1953-01-01,a
ABJR,247751,1953-01-01,a
ABMF,20548,1953-01-01,a
ABMG,477086,1953-01-01,a
ABMI,452548,1953-01-01,a
ABML,15206,1953-01-01,a
ABMM,398501,1953-01-01,a
ABMZ,16862,1953-01-01,a
BKTL,16682,1953-01-01,a
BOKG,2731,1953-01-01,a
BOKH,2974,1953-01-01,a
BOKI,-243,1953-01-01,a
BQKO,28333,1953-01-01,a
BQKQ,29258,1953-01-01,a
CAEQ,553,1953-01-01,a
